,questions,answers,classes
38,What to do after Live Projects? Are we getting an offer letter/Stipend?,"Submit your project and once it's reviewed as successful, collect your internship letter. Your internship is complete after this. There is no stipend for live projects. If your work is sublime and we have a vacancy in the position you're interested in, you may be offered a chance for interviews and can get an offer letter from Cloud Counselage Pvt. Ltd.",general
39,When will we get a joining letter,Joining letter to all the interns will be provided on or before the 31st of March 2020.,general
40,When will we get an internship completion letter,"This is a three (3) month internship conducted in the month of March, June & July 2020. You will receive your internship experience letter in August during the convocation only if you successfully submit your Live Project.",general
41,What will be the projects in AI/ ML/ etc. technologies in LP3/ Live Projects,Projects in LP3 and Live Projects will be relevant to your training and ongoing projects in Cloud Counselage. The actual problem statements will only be given when the LP3/ Live Project phase is in progress to keep the interns focused on LP1/ LP2.,general
42,Not able to see the task as not part of the IP workgroup,Please message â€˜Cloud Counselage HRâ€™ in Bitrix24,general
43,Live Project/ LP3 has to be submitted individually or it will be a group project,All the LP3/  Live Projects are on an individual scale,general
44,How can we check our weekly hours,In the menu select 'time and reports' ->worktime and then you could see your worktime or click on this link once youâ€™re logged in to Bitrix24; https://cloudcounselage24.bitrix24.com/timeman/timeman.php,general
45,Is it necessary to attend LP1 for other domains as well if we want to take its training.,LP1 training is common across all the technologies,general
46,Why only this training for LP2,They are our training partners and we have handpicked this training to cover a certain topic for you. These training cover from the very basic to intermediate level and is the perfect medium for you to have a starting point.,general
47,Could I have done this training from other websites/ resources,"Yes, you could have but the reason to have these videos is to keep an enclosed environment for you to watch these tutorials without distractions with quizzes and forums for you to discuss in. As mentioned earlier, our main aim is to provide you with a starting point and baseline for the technology of your choice",general
48,Can I do certification for the training provided in LP2,"Yes, Cloud Counselage has purposefully partnered with Edureka so as to enable our interns to get the advantage of the corporate benefits at 'no profit no loss' basis for Cloud Counselage, that we receive from the partnership. Being our interns, you can get huge discounts on the certifications you choose to enrol for through Cloud Counselage and Edureka. In case you want to know more about the discounts offered, please reach out to â€˜Cloud Counselage HRâ€™ or write to hrsupport@cloudcounselage.in",general
49,The videos of LP2 are taking too much time to load,We have uploaded the videos of the highest quality and best resolution which has resulted in some videos being over 1 GB as they are of hours in duration. To experience these high definition videos we request you to wait at least 5 minutes or more; depending on your computer's RAM and internet connection,general
50,Are LP1/ LP2/ LP3 a part of the Live Project,LP1/ LP2/ LP3 is your preparation for the Live Project. All the phases LP1/ LP2/ LP3/ Live Project are a part of this internship,general
51,Will these training be enough for us to complete the LP3 and Live Project,The set of training is not exhaustive and you are required to keep learning about the technology on your own to excel in your Live Project,general
52,How do I access my quiz,As mentioned in the video: -Step1: Go to lp1 module Step2: Select module Step3: Put token (it will direct you to the home screen if the token is correct) Step4: Again go to lp1 module n select that module  Step5: You will get the access by now Step6: Register there (each time for every module) Step7: Give the quiz Step8: Logout,general
53,By when will we receive access to Bitrix24,"If you have submitted the â€˜New Joinee Formâ€™ after the 1st of March, please wait till the 31st of March to receive your access",general
54,can my friends still apply for the Internship Program (IP) - Maharashtra? Can we create awareness about this internship? Can we be the representative for Cloud Counselage in our college?,"Yes, your friends can apply till the 30th of March 2020; https://www.cloudcounselage.com/ipmaharashtra/. To be a student representative of Cloud Counselage, please contact Cloud Counselage HR.",general
55,Is the induction online or offline,"As a precautionary measure to safeguard our internâ€™s health, we have decided to conduct all the inductions online.",general
56,I am trying to complete social media tasks. I completed that day and clicked finish but it didn't show finished in the task menu. What should I do,Our team will verify and then only your task shall be accepted as completed. Please wait till the verification's complete,general
57,My Efficiency is 0% what should I do,"Ensure that you have clicked â€˜Startâ€™ when you resume a task, the â€˜Finishâ€™ button gets active only after the task is started. Once you complete the task you can then click on â€˜Finishâ€™ and then the efficiency is updated in the system. However, please raise this issue with the Cloud Counselage HR, as they will look at it on a case to case basis.",general
58,Will you provide mentorship or doubt clearing sessions in this internship,"As this is an internship youâ€™re expected to do self-learning, mentorship is not part of an internship. However, we have created forums to resolve your doubts in the form of workgroups. As an intern ensure that you are part of relevant workgroups, i.e. â€˜202003 - IPâ€™ and your resp. Technology workgroup. In case, you are not a part of these workgroups, please reach out to â€˜Cloud Counselage HRâ€™ on Bitrix24 Chat.",general
59,Problem statements of the Live Project will be chosen by the intern or will be provided by Cloud Counselage,Live Projects will be provided by Cloud Counselage as these are the ongoing projects of Cloud Counselage and your opportunity to create an impact in the organisation,general
60,Can we be a part of your future development team,All our current interns if performing well in our internship programs can be offered an opportunity to interview for various positions in Cloud Counsealge. Many of our now full-time employees were interns in Cloud Counselage,general
61,How many times do we have to visit the office for this internship,"As this is an online internship you do not need to visit the offices in the duration of this internship. You will be requested to visit the Vikhroli office only once; i.e. on your internship convocation day which will be in July 2020. Nevertheless, you can visit our offices with an appointment.",general
62,Can we extend this internship,"Yes, you can extend your internship by being part of our other online programs like, â€˜Online Career Programâ€™",general
63,"If we are working on more than one technology, are those technologies added to the certificate",ABC,general
64,Will Live Projects have only one technology or a mixture of technologies,"Live Projects will have only your part of technology even if there are multiple technologies that are a part of the project, you will be working only on the part that covers your technology",general
65,"I forgot to clock in for a few days, will this affect my internship","This could have an adverse effect on your internship, please contact Cloud Counsealge HR and provide a genuine reason to miss clock in/ clock out. Also, please start performing your clock in/ clock out now",general
66,Will I get LP3 and Live project of technology other than what I am selected for,"No, you will receive LP3 and Live Projects of your respective technology",general
67,I have not been added to the technology I preferred to work on,"We do understand that you might be interested in other technologies and are eager to learn more, but we have prescribed the technologies based on your first inputs and cannot change your base technology. Nevertheless, you do have the opportunity to go through the training of all the technologies",general
68,What are the company policies for IP interns,The company policies will be published on www.cloudcounselage.co.in/ippolicies,general
69,I have not got the acknowledgment from you regarding the weekly report,"Once you submit your weekly report, your supervisor and the HR team shall take the cognizance. They would reach out to you in case of discrepancies, so you need not worry about the confirmation",general
70,In my work time I can see one exclamation mark?/ What does the remaining time mean?,It is showing the remaining time because it's configured for 8 working hours per day. Our interns need to only make sure that they are online for 1 hour per day or 7 hours a week,general
71,"I could not attend the induction last time, can I get an online induction again?/ I want some points said in the introduction, where can I get them.","We have created a separate page with a pre-recorded induction, please visit it; https://www.cloudcounselage.co.in/ipinduction",general
72,Can I just finish the task that you have just uploaded as I have attended the live induction session on 22nd of march,"Yes. Although, you can always revisit the induction so that you can review what has been said in it",general
73,"I have got another attachment called â€˜nonameâ€™ or â€˜win.datâ€™ with my Appointment letter, what should I do about it? Will it cause any harm?","We have observed that there is such an attachment for a few mailing service providers like Gmail and yahoo, please ignore this attachment. It wonâ€™t cause any harm to your system.",general
74,Where do we push the code in LP3,Please push you to code in a public repo of your GitHub account if required by your LP3 assignment,general
75,Where should we share our hacker rank id/ where should we share the link/ anything relate to LP3 assignment submission,"For now, please concentrate on completing the task. We will ask all the interns to submit their work in the first week of June. Ensure you make it up to the mark till then as there would be no extension given that time.",general
76,When will my review on social media update task be done,We will review this task in May 2020,general
77,Live project's use case will be provided or can we have our own use case,Live project's use case will strictly be provided by Cloud Counselage and you cannot choose your own use case,general
78,Is it necessary to clock-in if I am done with my tasks,"Yes, it is mandatory to do, we are trying to include some more tasks due to the current scenarios, but adherence to clock-in/ clock-out policy is utterly important.",general
79,Can we be online after 1 hr in a day,"Yes, you can be",general
80,I am stuck in LP3,"As mentorship/ hand-holding is not part of an internship by definition, we would not provide any technical help. Nevertheless, feel free to ask your doubt in your respective workgroup chat/ in the community or Google it",general
81,One of my friends had applied for the IP but she didn't receive any further updates,Please ask them to send a mail to hrsupport@cloudcounselage.in and wait till 30th April 2020 for a reply,general
82,"I have a query with respect to LP3, what should I do and whom should I ask","As mentioned in the '202003-IP' workgroup, please ask all queries related to LP3 in your technology workgroup only and tag Jayanth G S  in your message.",general
83,I didn't get my appointment letter yet.,"If you had not attended the live induction and have registered in the pre-recorded session after 4 PM, 31st March. Then you'll get your joining letter by 30th April 2020. If you have otherwise, please a mail to hrsupport@cloudcounselage.in or ping 'Cloud Counselage HR' in B24.",general
84,"For some reason, I'm unable to download my LP3 assignment problem statement document shared on LP3 page, is there any other way I can get it","Since some of you are not able to download, please find the same document in your technology drive in the folder LP3. We have made an announcement in your respective technology workgroup as well, please check",general
85,"If my technology is IOT/ AI/ ML/ etc., do I still have to complete the mandatory training for LP1 'Cloud Computing'","Yes, you'll need to complete the mandatory training as cloud computing is fundamental to many technologies and this additional knowledge will help you in your career.",general
86,When will the step 3 of the internship program start,"Hope you and your family are in the best of health given the current scenario and you are making the most of your time through the 'Internship Program' by Cloud Counselage. According to the schedule of this internship program, some of you must have completed steps 1 and 2 of your internship and some of you must be in the process of completing step 2. Please note that as per the program schedule (https://www.cloudcounselage.com/ipmaharashtra/), the following are the dates for entering step 3, wherein interns take preparatory leaves for exams:a) 16th April 2020 - access given before 31st March 2020 b) 01st May 2020 - access given after 31st March 2020 Kindly note that we are in touch with the DTE - Maharashtra for the exam schedules of various universities in Maharashtra and the start of step 4 will be announced accordingly via individual email and our social media pages. While step 3 is in progress, you do not need to login to Bitrix24 or submit your timesheet until you are in step 4. All the best and please stay safe! See you soon in step 4.",general
87,"I  am getting an error:: Exception: SQLSTATE[HY000]: General error: 1 no such table: layout, what should I do","This is due to many webpages opened, please close your browser and try again or you can open a new incognito tab and try again",general
